id,platform,masvs,type,profiles,has_manual,weakness,title,tier,base_tool,ci_feasible,ready_rule,gap_note,masvs_control,control_title
MASTG-TEST-0326,android,AUTH,"[static, code]",[L2],no,MASWE-0045,References to APIs Allowing Fallback to Non-Biometric Authentication,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0327,android,AUTH,"[static, code]",[L2],no,MASWE-0044,References to APIs for Event-Bound Biometric Authentication,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0328,android,AUTH,"[static, code]",[L2],no,MASWE-0046,References to APIs Detecting Biometric Enrollment Changes,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0329,android,AUTH,"[static, code]",[L2],no,MASWE-0044,References to APIs Enforcing Authentication without Explicit User Action,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0330,android,AUTH,"[static, code]",[L2],no,MASWE-0044,References to APIs for Keys used in Biometric Authentication with Extended Validity Duration,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0222,android,CODE,"[static, code]",[L2],no,MASWE-0116,Position Independent Code (PIC) Not Enabled,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,二进制编译标志检查（PIE/Stack Canary），非源码模式匹配范畴，MASTG/mobsfscan 均无覆盖；需自写脚本用 readelf/checksec 类工具检测 .so 二进制编译标志，非 semgrep 规则可解决,MASVS-CODE-3; MASVS-CODE-4,The app only uses software components without known vulnerabilities. / The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0223,android,CODE,"[static, code]",[L2],no,MASWE-0116,Stack Canaries Not Enabled,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,二进制编译标志检查（PIE/Stack Canary），非源码模式匹配范畴，MASTG/mobsfscan 均无覆盖；需自写脚本用 readelf/checksec 类工具检测 .so 二进制编译标志，非 semgrep 规则可解决,MASVS-CODE-3; MASVS-CODE-4,The app only uses software components without known vulnerabilities. / The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0245,android,CODE,"[static, code]",[L2],no,MASWE-0077,References to Platform Version APIs,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CODE-1,The app requires an up-to-date platform version.
MASTG-TEST-0272,android,CODE,"[static, code]","[L1, L2]",no,MASWE-0076,Identify Dependencies with Known Vulnerabilities in the Android Project,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,依赖已知漏洞比对属于 SCA（软件成分分析），非 semgrep 模式匹配范畴；需引入专用 SCA 工具（如 OWASP Dependency-Check / Trivy）扫描 Gradle 依赖或 SBOM，而非自写 semgrep 规则,MASVS-CODE-3,The app only uses software components without known vulnerabilities.
MASTG-TEST-0274,android,CODE,"[static, developer]","[L1, L2]",no,MASWE-0076,Dependencies with Known Vulnerabilities in the App's SBOM,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,依赖已知漏洞比对属于 SCA（软件成分分析），非 semgrep 模式匹配范畴；需引入专用 SCA 工具（如 OWASP Dependency-Check / Trivy）扫描 Gradle 依赖或 SBOM，而非自写 semgrep 规则,MASVS-CODE-3,The app only uses software components without known vulnerabilities.
MASTG-TEST-0337,android,CODE,"[static, code]","[L1, L2]",no,MASWE-0088,References to Object Deserialization of Untrusted Data,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CODE-4,The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0339,android,CODE,"[static, code]","[L1, L2]",no,MASWE-0086,SQL Injection in Content Providers,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CODE-4,The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0372,android,CODE,"[static, code, manual]","[L1, L2]",yes,MASWE-0066,Implicit Intents Used for Internal App Communication,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-PLATFORM-1; MASVS-STORAGE-2,The app uses IPC mechanisms securely. / The app prevents leakage of sensitive data.
MASTG-TEST-0374,android,CODE,"[static, code, manual]","[L1, L2]",yes,MASWE-0066,References to Implicit Intents Carrying Sensitive Extras,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-PLATFORM-1; MASVS-STORAGE-2,The app uses IPC mechanisms securely. / The app prevents leakage of sensitive data.
MASTG-TEST-0392,android,CODE,"[static, code, manual]",[L2],yes,MASWE-0075,References to Enforced Updating APIs,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-CODE-2,The app has a mechanism for enforcing app updates.
MASTG-TEST-0398,android,CODE,"[static, code, manual]","[L1, L2]",yes,MASWE-0071,References to WebViewClient URL Loading Handlers,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CODE-4,The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0399,android,CODE,"[static, config, code]","[L1, L2]",no,MASWE-0071,SafeBrowsing Disabled,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CODE-4,The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0204,android,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0027,Insecure Random API Usage,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0205,android,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0027,Non-random Sources Usage,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0208,android,CRYPTO,"[static, code]","[L1, L2]",no,MASWE-0009,Insufficient Key Sizes,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-2,The app performs key management according to industry best practices.
MASTG-TEST-0212,android,CRYPTO,"[static, code]","[L1, L2]",no,MASWE-0014,Use of Hardcoded Cryptographic Keys in Code,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-2,The app performs key management according to industry best practices.
MASTG-TEST-0221,android,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0020,Broken Symmetric Encryption Algorithms,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0232,android,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0020,Broken Symmetric Encryption Modes,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0307,android,CRYPTO,"[static, code]",[L2],no,MASWE-0012,References to Asymmetric Key Pairs Used For Multiple Purposes,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-CRYPTO-2,The app performs key management according to industry best practices.
MASTG-TEST-0309,android,CRYPTO,"[static, code]",[L2],no,MASWE-0022,References to Reused Initialization Vectors in Symmetric Encryption,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
